conv_id,turn,speaker,prev_sentiment,curr_sentiment,prev_text,curr_text,shift_type
11,4,Rohan,neutral,positive,Yeh ek digital marketing company thi. Experience kaafi enriching tha. Main bahut kuch seekha aur apni skills improve karne ka mauka mila.,"That's great! Main bhi hal hi mein ek internship kar raha hoon. Bahut struggle kar raha hoon, kuch tips do please!",neutral → positive
11,5,Anita,positive,neutral,"That's great! Main bhi hal hi mein ek internship kar raha hoon. Bahut struggle kar raha hoon, kuch tips do please!","Don't worry, Rohan! Sabke saath hota hai. Ek important tip hai ki hamesha proactive rehna. Apni ideas share karo aur team ke kaam mein actively participate karo.",positive → neutral
11,10,Rohan,neutral,positive,"Haan, mere internship mein bhi kaafi challenges aaye the. Ek baar ek marketing campaign launch karne mein issue aaya tha. Lekin teamwork se humne solution nikala aur campaign ko successful banaya.","Wow, that's impressive! Tum bohot talented ho, Anita!",neutral → positive
11,11,Anita,positive,neutral,"Wow, that's impressive! Tum bohot talented ho, Anita!","Tum bhi kamaal ke ho, Rohan! Itni mehnat karte ho aur humesha positive attitude rakhte ho.",positive → neutral
11,12,Rohan,neutral,positive,"Tum bhi kamaal ke ho, Rohan! Itni mehnat karte ho aur humesha positive attitude rakhte ho.","Thanks, Anita! Tum mujhe inspire karti ho. Aur waise, mujhe tumhari company ke baare mein aur bhi pata karna hai.",neutral → positive
11,13,Anita,positive,neutral,"Thanks, Anita! Tum mujhe inspire karti ho. Aur waise, mujhe tumhari company ke baare mein aur bhi pata karna hai.","Zaroor, Rohan! Tum kabhi mere office visit kar sakte ho. Aur waise bhi, main tumhe aur apne internship experiences ke baare mein aur bhi bata sakti hoon. Kuch aur jaan na chahte ho?",positive → neutral
11,15,Anita,neutral,positive,"Haan, mujhe yeh janna hai ki tumhari favorite internship memory kya thi?",Meri favorite memory jab humare team ne ek big project ko launch kiya tha. Sab ne teamwork kiya aur success celebrate kiya. Woh ek magical moment tha!,neutral → positive
11,17,Anita,positive,neutral,"Sounds amazing, Anita! Tumhari energy aur dedication bahut cool hai. I'm glad hum internship ke through connect hue.","Thanks, Rohan! Main bhi bahut khush hoon ki hum mile. Tumhari company ke baare mein aur baat karke aur time spend karte hai.",positive → neutral
11,19,Anita,neutral,positive,"Zaroor, Anita! Lekin mujhe yeh bhi pata chalna chahiye ki tumhari favorite part about working in a team kya hai?",Mera favorite part teamwork ka bonding hai. Challenges ko milke face karna aur ek dusre ko support karna - yeh sab bohot special hai.,neutral → positive
11,21,Anita,positive,neutral,"Absolutely, Anita! Main bhi wahi feel karta hoon. Tumhari company ke culture aur team bonding sound amazing.","Rohan, main soch rahi thi, kya hum dinner pe jaa sakte hain? Waha aur wahin pe hum aur challenges ke baare mein baat kar sakte hain.",positive → neutral
11,22,Rohan,neutral,positive,"Rohan, main soch rahi thi, kya hum dinner pe jaa sakte hain? Waha aur wahin pe hum aur challenges ke baare mein baat kar sakte hain.","That's a great idea, Anita! Dinner pe hum ek formal setting mein baat karenge, kahi kuch aur romantic moments bhi ho jaye?",neutral → positive
11,23,Anita,positive,neutral,"That's a great idea, Anita! Dinner pe hum ek formal setting mein baat karenge, kahi kuch aur romantic moments bhi ho jaye?","Haha, woh toh ho hee sakte hain, Rohan! Main wait kar rahi hoon.",positive → neutral
101,10,Rohan,neutral,positive,"Haan, ek aur story hai. Jab main chhoti thi, meri nani hamesha mujhe Snow White ki kahani sunaya karti thi. Mujhe woh story bahut pasand aati thi, especially woh seven dwarfs.","Awww, Riya tu toh Snow White hai meri zindagi mein. And I'll be your Prince Charming. Tumhara favourite dwarfs kaun the?",neutral → positive
101,11,Riya,positive,neutral,"Awww, Riya tu toh Snow White hai meri zindagi mein. And I'll be your Prince Charming. Tumhara favourite dwarfs kaun the?","Haha, really? Waise tum mere Prince Charming ho? Waise, mujhe sabse zyada Grumpy aur Dopey pasand the.",positive → neutral
101,13,Riya,neutral,positive,"Haan, I'll be your Prince Charming forever, Riya. Aur tumhe dopahar ko sote hue dekh kar mujhe bhi kabhi Grumpy feel hota hai.","Aww, Rohan, you always know how to make me smile. Tumhare liye main hamesha Snow White banne ko tayyar hu.",neutral → positive
101,15,Riya,positive,neutral,"Thank you, Riya. Tumhari smile dekh kar mujhe bhi duniya ki sari problems bhool jati hai.","Accha, Rohan, tumhari favourite childhood story kya thi?",positive → neutral
101,16,Rohan,neutral,positive,"Accha, Rohan, tumhari favourite childhood story kya thi?",Meri favourite kahani Princess aur the Frog thi. Main hamesha sapne mein sochta tha ki someday I'll find my princess.,neutral → positive
101,17,Riya,positive,neutral,Meri favourite kahani Princess aur the Frog thi. Main hamesha sapne mein sochta tha ki someday I'll find my princess.,"Well, Rohan, sapne hakikat banane ka waqt aa gaya hai. Tum mujhse shaadi karoge?",positive → neutral
101,19,Riya,neutral,positive,"Riya, tumhare saath har raat sapne dekhne ka waqt aa gaya hai. Aur haan, main tumse shaadi karunga, meri princess!","I can't wait to be your princess, Rohan. You make every story worth living. I love you!",neutral → positive
102,12,Ravi,neutral,positive,"Ravi, humare kisaan bhai humari asli garima hai. Unke saath humara pyaar aur samman hona chahiye. Mujhe ye sab samajhna hai aur is problem par kaam karna hai.","Neha, tum bahut acche dil ke saath baat karti ho. Tumhare is thoughts se mujhe inspire milta hai. I admire you.",neutral → positive
102,13,Neha,positive,neutral,"Neha, tum bahut acche dil ke saath baat karti ho. Tumhare is thoughts se mujhe inspire milta hai. I admire you.","Ravi, tumhare saath discuss karte karte na jaane kuch ajeeb sa feel ho raha hai. I feel connected to you and your thoughts. Tumse milna chahungi.",positive → neutral
102,17,Neha,neutral,positive,"Zaroor, Neha. Tumhe aur is topic ke baare mein sunke mujhe bahut khushi hogi. Chalo, hum date par chalte hai.","Ravi, mujhe bhi bahut excited feel ho rahi hai. Thank you for understanding my thoughts and being there. Let's go on this date and explore more about ourselves.",neutral → positive
102,18,Ravi,positive,neutral,"Ravi, mujhe bhi bahut excited feel ho rahi hai. Thank you for understanding my thoughts and being there. Let's go on this date and explore more about ourselves.","Neha, main bhi bahut excited hoon. Tumhari company mein, aur iss topic par, mujhe kuch alag hi motivation mil raha hai. Chalo, hum apne sapno ki kashti saath mein chalenge.",positive → neutral
103,9,Priya,neutral,negative,"Haan, yeh bhi sahi hai. Log un sites ke importance ko samajhenge aur cultural exchange hoga.",Lekin over-tourism ki wajah se pollution bhi badh rahi hai. Sites pe waste disposal aur conservation ka dhyaan hona zaruri hai.,neutral → negative
103,10,Rahul,negative,neutral,Lekin over-tourism ki wajah se pollution bhi badh rahi hai. Sites pe waste disposal aur conservation ka dhyaan hona zaruri hai.,"Sahi baat hai Priya, hume bhavishya ke liye sochna chahiye. Development zaruri hai, lekin apne heritage sites ki suraksha bhi equally important hai.",negative → neutral
103,15,Priya,neutral,positive,"Main soch raha tha ki hum ek campaign start kare, jisme hum local communities ko involve kare aur unhe importance of conservation samjhayen.",Wo ek amazing idea hai. Mujhe lagta hai humari involvement se kuch positive changes ho sakte hai.,neutral → positive
103,16,Rahul,positive,neutral,Wo ek amazing idea hai. Mujhe lagta hai humari involvement se kuch positive changes ho sakte hai.,"Haan, tabhi toh maine tere saath discuss kiya. Tujhme positivity aur change ke liye dedication dekh raha hu.",positive → neutral
103,22,Rahul,neutral,positive,"Rahul, yeh ek romantic moment ban gaya hai. Main tujhse pyaar karti hu!","Priya, main bhi tujhse pyaar karta hu. Yeh toh bas shuruwat hai, humari love story aur bhi beautiful hogi!",neutral → positive
104,2,Rohan,neutral,positive,"Hey Rohan, main bilkul theek hun! Tum sunao, kya ho raha hai?","Well, I recently volunteered at a local orphanage. It was such a heartwarming experience!",neutral → positive
104,11,Priya,positive,neutral,"Absolutely! It's important to make a positive impact wherever we can. So, what's next on your list of service initiatives?","I'm thinking about organizing a donation drive for underprivileged children. We can collect clothes, books, and toys for them.",positive → neutral
104,12,Rohan,neutral,positive,"I'm thinking about organizing a donation drive for underprivileged children. We can collect clothes, books, and toys for them.","Count me in! I'd love to help you. We make a great team, don't we?",neutral → positive
105,1,Priya,neutral,positive,"Hi Priya! Aaj kuch alag baat karte hain. You know, Indian healthcare mein recent innovations ke baare mein discuss karte hain.","Hi Rahul! Sounds interesting. Chalo, shuru karte hain. What do you think about the advancements in telemedicine?",neutral → positive
105,2,Rahul,positive,neutral,"Hi Rahul! Sounds interesting. Chalo, shuru karte hain. What do you think about the advancements in telemedicine?","Telemedicine ne healthcare ke dynamics bilkul badal diye hain. It enables patients to consult doctors remotely, saving time and effort. Kya tumne kabhi try kiya hai?",positive → neutral
105,3,Priya,neutral,positive,"Telemedicine ne healthcare ke dynamics bilkul badal diye hain. It enables patients to consult doctors remotely, saving time and effort. Kya tumne kabhi try kiya hai?","Haan, I have tried it once. It was convenient and cost-effective too. Patients from remote areas can now access medical expertise with ease. It's truly revolutionary!",neutral → positive
105,4,Rahul,positive,neutral,"Haan, I have tried it once. It was convenient and cost-effective too. Patients from remote areas can now access medical expertise with ease. It's truly revolutionary!","Absolutely! Ab koi bhi apne ghar se hi doctors se consult kar sakta hai. Aur tumhe pata hai, India mein telemedicine kaafi popular ho raha hai.",positive → neutral
105,5,Priya,neutral,positive,"Absolutely! Ab koi bhi apne ghar se hi doctors se consult kar sakta hai. Aur tumhe pata hai, India mein telemedicine kaafi popular ho raha hai.","Haan, telemedicine platforms bhi bahut increase hui hain. Even during the pandemic, it played a crucial role in providing healthcare services to those in need. Humein aise innovations pe proud hona chahiye.",neutral → positive
105,6,Rahul,positive,neutral,"Haan, telemedicine platforms bhi bahut increase hui hain. Even during the pandemic, it played a crucial role in providing healthcare services to those in need. Humein aise innovations pe proud hona chahiye.","Haan, humare desh mein healthcare mein kafi growth hua hai. Aur kya innovations sunai hai tumhe?",positive → neutral
105,7,Priya,neutral,positive,"Haan, humare desh mein healthcare mein kafi growth hua hai. Aur kya innovations sunai hai tumhe?",Ek aur interesting innovation hai wearables. Devices like smartwatches and fitness bands track our health data and provide valuable insights. It's great for proactive healthcare management.,neutral → positive
105,16,Rahul,positive,neutral,"Thank you, Rahul. Tum bhi bahut knowledgeable ho aur humare conversations hamesha interesting hote hain. I enjoy talking to you.",Mujhe bhi bahut accha lagta hai jab hum baat karte hain. Tumhari smile ke saath har conversation ek romantic moment ban jaata hai.,positive → neutral
105,18,Rahul,neutral,positive,"Rahul, tum bhi na! Romance wali baatein abhi nahi chalu karo. Hum healthcare innovations pe concentrate karte hain.","Theek hai, Priya. But you know, having a conversation with you is always special. Tumhari company hamesha refreshing hoti hai.",neutral → positive
105,21,Priya,positive,neutral,"Mujhe bhi bahut accha lagta hai, Priya. Aur I can't help but think about a beautiful future where we explore more topics together, while holding hands.","Rahul, tum sach mein romantic ho gaye ho! But I must admit, aisa future imagine karna bahut achha lagta hai.",positive → neutral
105,23,Priya,neutral,positive,"Haha, I can't help it, Priya. Tumhare saath har conversation dil ko chhu jaata hai. Chalo, aaj ke innovations ki baat yahin tak simit karte hain. We can continue later.","Theek hai, Rahul. Lekin yeh conversation mujhe bahut pasand aaya. I'm looking forward to exploring more topics with you and creating many more romantic moments.",neutral → positive
107,3,Neha,neutral,positive,"Mere paas kuch important kaam tha yaar. Tu hi batade, tiktok aur social media pe kitne hours spend karti hai?","Haha, sach bola toh zyada time rehta hai. Sometimes I lose track, you know, it's so addicting! But fayda kya hai iska society ko?",neutral → positive
107,4,Rohan,positive,neutral,"Haha, sach bola toh zyada time rehta hai. Sometimes I lose track, you know, it's so addicting! But fayda kya hai iska society ko?","Haan, yeh toh bilkul sahi baat hai. Social media kabhi kabhi ek distraction bhi ban jati hai, logo ka productivity kam ho jata hai.",positive → neutral
107,5,Neha,neutral,negative,"Haan, yeh toh bilkul sahi baat hai. Social media kabhi kabhi ek distraction bhi ban jati hai, logo ka productivity kam ho jata hai.","Absolutely, productivity ka toh sawal hi nahi hota. Aur log fake news aur negativity bhi faila dete hai. Kaafi harmful ho sakta hai.",neutral → negative
107,8,Rohan,negative,neutral,"Aur phir cyber bullying bhi. Log kaafi negative comments aur judgments karte hai, aur kisi ko affect kar sakte hai.","True, social media mein privacy bhi kam rehti hai. Kuch log personal information share karte hai, jo galat haatho mein lag sakti hai.",negative → neutral
107,13,Neha,neutral,negative,"Haan, tumhari style toh killer hai. Lekin, tumhare dimple walay smile ki wajah se bhi log attract hote honge social media pe.","Oh stop! Tum bhi na, compliments ki dukaan ban gaye ho!",neutral → negative
107,14,Rohan,negative,neutral,"Oh stop! Tum bhi na, compliments ki dukaan ban gaye ho!",Tumhe compliments pasand nahi hote? Mujhe toh tumhara presence bahut pasand hai. Aur tumhare thoughts bhi kabhi boring nahi hote.,negative → neutral
107,15,Neha,neutral,positive,Tumhe compliments pasand nahi hote? Mujhe toh tumhara presence bahut pasand hai. Aur tumhare thoughts bhi kabhi boring nahi hote.,"Aww, thanks, Rohan! Tum bhi bilkul pasand ho. Aur tumhare ideas bahut interesting hote hai, like yeh social media debate.",neutral → positive
107,16,Rohan,positive,neutral,"Aww, thanks, Rohan! Tum bhi bilkul pasand ho. Aur tumhare ideas bahut interesting hote hai, like yeh social media debate.","Waise, tumhara profile picture dekh kar lagta hai, ki hum ek themed photoshoot kar sakte hai! Kya tum interested ho?",positive → neutral
108,4,Rahul,neutral,positive,"Oh really, Rahul? Tu toh bilkul Prince Charming lag raha tha apni black suit mein! Mujhe bhi tera dance yaad hai, itna confident tha tu stage pe!","Thanks, Simran! Waise teri woh solo dance performance bhi yaad hai, jahan tu woh graceful ballerina bani thi. I was mesmerized watching you!",neutral → positive
108,5,Simran,positive,negative,"Thanks, Simran! Waise teri woh solo dance performance bhi yaad hai, jahan tu woh graceful ballerina bani thi. I was mesmerized watching you!","Rahul, stop it! Tujhe kaise yaad hai sab itna detail mein?",positive → negative
108,6,Rahul,negative,neutral,"Rahul, stop it! Tujhe kaise yaad hai sab itna detail mein?","Simran, tum meri zindagi ke ek important hisse ho, aur jo bhi tumhare saath guzra hai woh sab mere dil mein bas gaya hai.",negative → neutral
109,3,Priya,neutral,positive,I'm talking about the recent development in the field of renewable energy.,"Oh, you mean the solar-powered rickshaws, right? They're so innovative!",neutral → positive
109,9,Priya,positive,neutral,"Exactly, Priya! And it's not just in renewable energy. India is also excelling in artificial intelligence.","Oh, I've read about how Indian startups are using AI to transform various industries.",positive → neutral
109,10,Rahul,neutral,positive,"Oh, I've read about how Indian startups are using AI to transform various industries.","Yes, it's fascinating how technology is empowering businesses and making our lives easier.",neutral → positive
110,10,Rohan,neutral,positive,"Rohan, agar tu khush hai toh mujhe bhi bahut khushi hoti hai. Tu bhi meri life mein bahut special hai. Waise, apna favorite spiritual book kya hai?",Meri favorite book 'The Alchemist' hai. Is book ne mujhe bahut inspire kiya hai. Tere liye konsi book hai?,neutral → positive
110,13,Pooja,positive,neutral,"That's amazing, Pooja. Mujhe bhi wo connect feel hona hai. Kabhi kabhi toh lagta hai ki hum dono ek hi soul ke do alag parts hain.","Haan, Rohan, main bhi wahi feel karti hun. Itni similar interests aur thoughts, humara connection kuch alag hi hai. Maybe hum dono ka spiritual journey ek dusre ka support ban sakta hai.",positive → neutral
110,15,Pooja,neutral,positive,"Pooja, tu sahi kehti hai. Hum dono saath mein apne journeys ko explore karenge. Aur phir ek beautiful romantic connection bhi banega.","Rohan, tumhari baatein sunke mere dil ke saare bells baj rahe hain. I'm ready to go on this spiritual journey with you, aur haan, ye connection definitely romantic hai.",neutral → positive
110,19,Pooja,positive,neutral,"I couldn't agree more, Pooja. Abhi se hi hamari life mein woh love aur positivity hai jo humesha rahenga.","Sach mein, Rohan. Chalo, hum apni spiritual journey ki shuruaat karte hain. Tumhara haath thaam ke...",positive → neutral
110,22,Rohan,neutral,positive,"Let's start with meditation and then slowly explore different forms of yoga together. Ek dusre ko support karke, hum apne higher selves tak pahunchenge.","Absolutely, Pooja. Ek dusre ko encourage karte huye, hum apne true potential ko explore karenge. I'm grateful to have you by my side.",neutral → positive
111,1,Arjun,neutral,positive,Hey Arjun! Kaisa tha tera experience Indian mountain retreat mein?,"Alisha, bas ekdum mast tha yaar! Wahan ka scenery bahut amazing tha.",neutral → positive
111,2,Alisha,positive,neutral,"Alisha, bas ekdum mast tha yaar! Wahan ka scenery bahut amazing tha.",Wah! Kya view tha wahan? Mujhe batao!,positive → neutral
111,10,Alisha,neutral,positive,"Alisha, tere smile ka koi replacement nahi hai. Woh toh mujhe hamesha pasand hai!","Arjun tu bhi na! Aise compliments mat de. Lekin haan, thanks for the sweet words.",neutral → positive
111,11,Arjun,positive,neutral,"Arjun tu bhi na! Aise compliments mat de. Lekin haan, thanks for the sweet words.","Ab woh toh mein hamesha tujhe deunga! Bata, tu wahan pe kya kar rahi thi?",positive → neutral
111,34,Alisha,neutral,positive,"Alisha, tu mere liye sab kuchh hai. Tumse thoda aur flirt karne ka plan bana raha hu!","Haha, Arjun, har conversation mein flirt toh shuru kar diya. I love your sweet gestures!",neutral → positive
111,35,Arjun,positive,neutral,"Haha, Arjun, har conversation mein flirt toh shuru kar diya. I love your sweet gestures!","Tere liye har din naya surprise hai, Alisha. Teri muskurahat meri duniya hai.",positive → neutral
111,38,Alisha,neutral,positive,"Alisha, cheesy toh mein hi hoon. Pyaar mein kuchh bhi hota hai, aur mujhe tujhe impress karna hai.","Well, you're definitely succeeding in that, Arjun. Ab jaldi aa, mujhe aur surprises chahiye!",neutral → positive
113,1,Riya,neutral,negative,"Hi, Riya! Aaj kaisa lag raha hai tera din?","Hey, Rohan! Din thoda boring tha, but ab tujhse baat karke achha lag raha hai. Tu suna, tere din kaise guzar rahe hai?",neutral → negative
113,2,Rohan,negative,neutral,"Hey, Rohan! Din thoda boring tha, but ab tujhse baat karke achha lag raha hai. Tu suna, tere din kaise guzar rahe hai?","Mere din thode interesting hote hai, especially jab tujhse baat hoti hai. By the way, tune Indian television ki evolution pe kabhi socha hai?",negative → neutral
113,7,Riya,neutral,negative,"True, wahin toh problem hai. Aur fir ads bhi itne zyada ho gaye hai. Kabhi kabhi show ka continuity bhi affect hoti hai.",Absolutely! Kabhi emotional scene bich mein cut kar dete hai aur fir commercial break. Itna irritating lagta hai sab.,neutral → negative
113,8,Rohan,negative,neutral,Absolutely! Kabhi emotional scene bich mein cut kar dete hai aur fir commercial break. Itna irritating lagta hai sab.,"Lekin ek baat toh hai, jitna bhi ho, TV ka impact toh humpe hamesha raha hai. Kaafi zamane pe logon ke pas TV nahi hota tha, ab toh smart TVs aur online streaming ne trend badal diya hai.",negative → neutral
113,10,Rohan,neutral,positive,"Haan, bilkul sahi. Lekin TV par bhi ab OTT platforms ke shows dekh sakte hai. Diverse content aur apna taste choose kar sakte hai.","Absolutely, ab toh Netflix, Amazon Prime, aur Hotstar jaise platforms mein amazing shows dekhne ko milte hai. Options toh badh gaye hai.",neutral → positive
113,11,Riya,positive,neutral,"Absolutely, ab toh Netflix, Amazon Prime, aur Hotstar jaise platforms mein amazing shows dekhne ko milte hai. Options toh badh gaye hai.","Yahi baat hai! Ab hum TV shows par debate kar rahe hai, par humari debate bhi kuch different hogi hai na?",positive → neutral
114,3,Priya,neutral,negative,"Main bhi theek hoon, yaar. So, you know urban living in India can be quite challenging, right?","Haan yaar, bilkul! Traffic, pollution, and overcrowding sab bahut problems hai.",neutral → negative
114,4,Raj,negative,neutral,"Haan yaar, bilkul! Traffic, pollution, and overcrowding sab bahut problems hai.","Haan, aur infrastructure ki bhi koi kasar nahi hai. Public transport bhi kitni unreliable ho gayi hai.",negative → neutral
114,5,Priya,neutral,negative,"Haan, aur infrastructure ki bhi koi kasar nahi hai. Public transport bhi kitni unreliable ho gayi hai.","True! Aur chote flats, congestion, and soaring rent prices add to the stress.",neutral → negative
114,6,Raj,negative,neutral,"True! Aur chote flats, congestion, and soaring rent prices add to the stress.",Absolutely! Aur phir lifestyle changes bhi hote rahte hain. Zindagi itni fast-paced ho gayi hai.,negative → neutral
114,12,Raj,neutral,positive,"Hmm, true. But how can we do that?","Well, one way is to explore nearby parks or green spaces, take walks, and connect with nature.",neutral → positive
114,14,Raj,positive,neutral,That's a good idea! Fresh air and greenery definitely help in reducing stress.,"Haan, aur humein apne hobbies aur interests ko bhi pursue karna chahiye. Passion and enjoyment sabse important hai.",positive → neutral
114,16,Raj,neutral,positive,"You're right, Raj. Mujhe bhi apne painting passion ke liye thoda time nikalna chahiye.",That's great! Warna hum urban jungles ke andar lost ho jayenge. We need something to keep us grounded.,neutral → positive
114,17,Priya,positive,neutral,That's great! Warna hum urban jungles ke andar lost ho jayenge. We need something to keep us grounded.,"Absolutely! Aur ek important baat, support system hona bahut zaroori hai.",positive → neutral
114,18,Raj,neutral,positive,"Absolutely! Aur ek important baat, support system hona bahut zaroori hai.","Haan, friends and family ka support hona bohot important hai. They help us sail through the challenges.",neutral → positive
114,19,Priya,positive,neutral,"Haan, friends and family ka support hona bohot important hai. They help us sail through the challenges.","Raj, tumhare points sach mein bahut insightful hai. Tumhe samajhna hai, urban living ke challenges ko overcome karne ke liye.",positive → neutral
114,20,Raj,neutral,positive,"Raj, tumhare points sach mein bahut insightful hai. Tumhe samajhna hai, urban living ke challenges ko overcome karne ke liye.","Thank you, Priya. Tumhari understanding aur insights bhi amazing hai. Tumhare saath baat karke mujhe bahut accha lagta hai.",neutral → positive
114,21,Priya,positive,neutral,"Thank you, Priya. Tumhari understanding aur insights bhi amazing hai. Tumhare saath baat karke mujhe bahut accha lagta hai.","Same here, Raj. Tumhari company bohot refreshing hai.",positive → neutral
114,27,Priya,neutral,positive,"Priya, I think we should spend more time together, explore this connection, and see where it leads us.","Raj, I would love that. Humari yeh urban living challenges ki baat itni romantic moment tak le ayi, kya kehna!",neutral → positive
114,29,Priya,positive,neutral,"Haan, I guess urban living challenges can also create beautiful moments. I'm excited about our journey together.","Mujhe bhi bahut excitement ho rahi hai. So, what's next for us, Raj?",positive → neutral
114,31,Priya,neutral,positive,"Let's start by going out for a coffee and get to know each other better. What do you say, Priya?","Sounds perfect, Raj! Let's explore this new chapter of our lives together, tackling the challenges hand in hand.",neutral → positive
115,10,Riya,neutral,positive,"Zaroor, Riya! Main bhi wahan aur tumhari company mein jaake Himachal ke khane ki baatein karne ka mauka lena chahta hu. Aur phir hum sabko wahan par ek romantic dinner plan kar sakte hai, kya kehti ho?","Awww, Rohit, that sounds amazing! Woh toh real culinary adventure hoga. I am really looking forward to it. Tum planning karo, mai aur tum woh sab dishes taste karte hai aur apni life ki aakri bite Khushi se enjoy karte hai.",neutral → positive
115,11,Rohit,positive,neutral,"Awww, Rohit, that sounds amazing! Woh toh real culinary adventure hoga. I am really looking forward to it. Tum planning karo, mai aur tum woh sab dishes taste karte hai aur apni life ki aakri bite Khushi se enjoy karte hai.","Done deal, Riya! Bas tere saath khane waali yeh life ki aakhri bite humesha yaadgaar hogi. Main abhi se excited ho raha hu, hum saath saath Himachal ka khaana explore karenge aur woh bhi romantic setting mein.",positive → neutral
115,12,Riya,neutral,positive,"Done deal, Riya! Bas tere saath khane waali yeh life ki aakhri bite humesha yaadgaar hogi. Main abhi se excited ho raha hu, hum saath saath Himachal ka khaana explore karenge aur woh bhi romantic setting mein.","I can't wait, Rohit! Abhi se mujhe Himachal ka Khana bahut pasand aane laga hai. Yeh hamari friendship ki ek nayi milestones hogi. Promise me ki hum sab timeout lenge aur ek dusre ke saath yeh romantic moment ko cherish karenge.",neutral → positive
115,13,Rohit,positive,neutral,"I can't wait, Rohit! Abhi se mujhe Himachal ka Khana bahut pasand aane laga hai. Yeh hamari friendship ki ek nayi milestones hogi. Promise me ki hum sab timeout lenge aur ek dusre ke saath yeh romantic moment ko cherish karenge.","I promise, Riya! Hum sabko Himachal ki culinary adventure ke saath saath apni jodi ka naya romantic chapter bhi shuru karenge. Yeh hamare pyaar aur dosti ka ek khaas pal hoga!",positive → neutral
116,11,Priya,neutral,positive,"Priya, tum meri dost ho, aur mujhe har baat samajhne ki koshish karni chahiye. Mahilaon ko support karna mera farz hai.","Aww, tum really sweet ho, Rohan. Mujhe acha lag raha hai ki hamari soch milti hai. Tumhein pata hai, aaj tak koi ladka mere rights ke liye aise khada nahi hua hai.",neutral → positive
116,12,Rohan,positive,neutral,"Aww, tum really sweet ho, Rohan. Mujhe acha lag raha hai ki hamari soch milti hai. Tumhein pata hai, aaj tak koi ladka mere rights ke liye aise khada nahi hua hai.","Priya, tum mujhe jaanti hi ho, mai kisi kaam ke liye nahi khada hota, balki rishto ke liye khada hota hoon. Aur mujhe tumse kuch kehna hai...",positive → neutral
117,1,Ria,neutral,positive,"Arey yaar, Ria! Tere saath beach holiday ki yaad mein aa gaya. Remember that time we went to Goa?","Arre, Rahul! Kaise bhool sakti hoon? It was such a memorable trip! Woh Goa ki beaches, the sand, and the amazing sunsets!",neutral → positive
